strain	Unnamed: 0	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing	name	hct
hCoV-19/USA/WA-S19522/2021	30277	betacoronavirus	EPI_ISL_11961230	?	2021-10-03	North America	USA	Washington	King County	North America	USA	Washington	genome	29797	Human	unknown	unknown	?	AY.44	GK	Seattle Flu Study	Seattle Flu Study	Chris D. Frazar, Jover Lee, Erica Ryke, Luis Gamboa, Evan McDermot, Jeremy Stone, Tom Kolar, Peter D. Han, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Barry R. Lutz, Alpana Waghmare, Cecile Viboud, Lea M. Starita, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2022-04-11	?	hCoV-19/USA/WA-S19522/2021	no
hCoV-19/USA/WA-S3731/2020	47366	betacoronavirus	EPI_ISL_903017	?	2020-12-01	North America	USA	Washington	King County	North America	USA	Washington	genome	29865	Human	unknown	unknown	?	B.1.595	GH	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-01-30	?	hCoV-19/USA/WA-S3731/2020	yes
hCoV-19/USA/WA-S5104/2021	85059	betacoronavirus	EPI_ISL_1114261	?	2021-02-18	North America	USA	Washington	King County	North America	USA	Washington	genome	29798	Human	unknown	unknown	?	B.1.429	GH	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-03-02	?	hCoV-19/USA/WA-S5104/2021	yes
hCoV-19/USA/WA-S15604/2021	39629	betacoronavirus	EPI_ISL_8035115	?	2021-11-08	North America	USA	Washington	King County	North America	USA	Washington	genome	29824	Human	unknown	unknown	?	AY.43	GK	Overlake Hospital	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Romesh Gautom, Geoff Melly, Brian Hiatt, Philip Dykema, Scott Lindquist, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Helen Y. Chu, Jay Shendure, Trevor Bedford	https://www.gisaid.org/	?	?	2021-12-24	?	hCoV-19/USA/WA-S15604/2021	no
hCoV-19/USA/WA-S3673/2021	84633	betacoronavirus	EPI_ISL_891099	?	2021-01-09	North America	USA	Washington	King County	North America	USA	Washington	genome	29333	Human	unknown	unknown	?	B.1.232	G	Altius Institute for Biomedical Sciences	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Ryan Alexander, Daniel Bates, Rebecca Bruders, Stephanie DeBaun, Clem Green, Muhammad Halimun, Kneshay Harper, Matt Hartman, Andrew Meuser, Alex Nguyen, Truong Nguyen, Sofia Olsson, Sadie Patraw, Hannah Petersen, Tobias Ragoczy, Joshua Richards, Jacob Rodriguez, John Stamatoyannopoulos, Julia Wald, Olivia Waltner, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Helen Y. Chu, Jay Shendure, Trevor Bedford	https://www.gisaid.org/	?	?	2021-01-29	?	hCoV-19/USA/WA-S3673/2021	no
hCoV-19/USA/WA-PHL-007636/2021	38674	betacoronavirus	EPI_ISL_7547465	?	2021-11-29	North America	USA	Washington	King County	North America	USA	Washington	genome	29769	Human	unknown	unknown	?	AY.103	GK	Washington State Department of Health Public Health Laboratories	Washington State Department of Health Public Health Laboratories	Drew MacKellar, Philip Dykema, Denny Russell, Lisa Jones, Holly Halstead, Kathryn Sickles, Kristin Roche, Ardizon Valdez, Claire Howell, Alex Lathum, JohnAric Peterson, Avi Singh, Rebecca Cao	https://www.gisaid.org/	?	?	2021-12-11	?	hCoV-19/USA/WA-PHL-007636/2021	no
hCoV-19/USA/WA-S6118/2021	93409	betacoronavirus	EPI_ISL_1711506	?	2021-04-05	North America	USA	Washington	King County	North America	USA	Washington	genome	29315	Human	unknown	unknown	?	Q.3	GRY	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-04-24	?	hCoV-19/USA/WA-S6118/2021	yes
hCoV-19/USA/WA-S5503/2021	87484	betacoronavirus	EPI_ISL_1468741	?	2021-02-26	North America	USA	Washington	King County	North America	USA	Washington	genome	29815	Human	unknown	unknown	?	B.1.2	GH	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-04-03	?	hCoV-19/USA/WA-S5503/2021	yes
hCoV-19/USA/WA-S21259/2022	118915	betacoronavirus	EPI_ISL_13834484	?	2022-06-26	North America	USA	Washington	King County	North America	USA	Washington	genome	29731	Human	unknown	unknown	?	BA.4	GRA	Seattle Flu Study, University of Washington Medical Center	Seattle Flu Study, University of Washington Medical Center	Chris D. Frazar, Jover Lee, Erica Ryke, Luis Gamboa, Evan McDermot, Jeremy Stone, Tom Kolar, Peter D. Han, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Jeff Duchin, Michael Boeckh, Janet A. Englund, Barry R. Lutz, Alpana Waghmare, Cecile Viboud, Lea M. Starita, Helen Y. Chu, Trevor Bedford, Jay Shendure	https://www.gisaid.org/	?	?	2022-07-13	?	hCoV-19/USA/WA-S21259/2022	no
hCoV-19/USA/WA-S5903/2021	90920	betacoronavirus	EPI_ISL_1587124	?	2021-03-29	North America	USA	Washington	King County	North America	USA	Washington	genome	29464	Human	unknown	unknown	?	Q.3	GRY	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-04-14	?	hCoV-19/USA/WA-S5903/2021	yes
hCoV-19/USA/WA-S18983/2022	70370	betacoronavirus	EPI_ISL_11327928	?	2022-02-16	North America	USA	Washington	King County	North America	USA	Washington	genome	29786	Human	unknown	unknown	?	BA.1.15	GRA	Seattle Flu Study	Seattle Flu Study	Chris D. Frazar, Jover Lee, Erica Ryke, Luis Gamboa, Evan McDermot, Jeremy Stone, Tom Kolar, Peter D. Han, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Barry R. Lutz, Alpana Waghmare, Cecile Viboud, Lea M. Starita, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2022-03-23	?	hCoV-19/USA/WA-S18983/2022	yes
hCoV-19/USA/WA-PHL-016418/2022	71178	betacoronavirus	EPI_ISL_11816848	?	2022-03-10	North America	USA	Washington	King County	North America	USA	Washington	genome	29456	Human	unknown	unknown	?	BA.1	GRA	Northwest Laboratory	Washington State Department of Health Public Health Laboratories	Drew MacKellar, Philip Dykema, Denny Russell, Holly Halstead, Kathryn Sickles, Kristin Roche, Ardizon Valdez, Claire Howell, Alex Lathum, JohnAric Peterson, Avi Singh, Rebecca Cao	https://www.gisaid.org/	?	?	2022-04-07	?	hCoV-19/USA/WA-PHL-016418/2022	no
hCoV-19/USA/WA-S19641/2022	75489	betacoronavirus	EPI_ISL_12374788	?	2022-04-06	North America	USA	Washington	King County	North America	USA	Washington	genome	29786	Human	unknown	unknown	?	BA.2.3	GRA	Seattle Flu Study	Seattle Flu Study	Chris D. Frazar, Jover Lee, Erica Ryke, Luis Gamboa, Evan McDermot, Jeremy Stone, Tom Kolar, Peter D. Han, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Jeff Duchin, Michael Boeckh, Janet A. Englund, Barry R. Lutz, Alpana Waghmare, Cecile Viboud, Lea M. Starita, Helen Y. Chu, Trevor Bedford, Jay Shendure	https://www.gisaid.org/	?	?	2022-04-28	?	hCoV-19/USA/WA-S19641/2022	no
hCoV-19/USA/WA-PHL-014860/2022	65068	betacoronavirus	EPI_ISL_10397880	?	2022-02-10	North America	USA	Washington	King County	North America	USA	Washington	genome	29453	Human	unknown	unknown	?	BA.1.1	GRA	Washington State Department of Health Public Health Laboratories	Washington State Department of Health Public Health Laboratories	Drew MacKellar, Philip Dykema, Denny Russell, Lisa Jones, Holly Halstead, Kathryn Sickles, Kristin Roche, Ardizon Valdez, Claire Howell, Alex Lathum, JohnAric Peterson, Avi Singh, Rebecca Cao	https://www.gisaid.org/	?	?	2022-02-26	?	hCoV-19/USA/WA-PHL-014860/2022	no
hCoV-19/USA/WA-PHL-018850/2022	76949	betacoronavirus	EPI_ISL_12600844	?	2022-04-16	North America	USA	Washington	King County	North America	USA	Washington	genome	29437	Human	unknown	unknown	?	BA.2	GRA	Atlas Genomics	Washington State Department of Health Public Health Laboratories	Drew MacKellar, Philip Dykema, Denny Russell, Holly Halstead, Kathryn Sickles, Kristin Roche, Ardizon Valdez, Claire Howell, Alex Lathum, JohnAric Peterson, Avi Singh, Rebecca Cao	https://www.gisaid.org/	?	?	2022-05-09	?	hCoV-19/USA/WA-PHL-018850/2022	no
hCoV-19/USA/WA-S12574/2021	24870	betacoronavirus	EPI_ISL_5329301	?	2021-09-19	North America	USA	Washington	King County	North America	USA	Washington	genome	29730	Human	unknown	unknown	?	AY.44	GK	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-10-19	?	hCoV-19/USA/WA-S12574/2021	yes
hCoV-19/USA/WA-PHL-019591/2022	79157	betacoronavirus	EPI_ISL_12695870	?	2022-04-25	North America	USA	Washington	King County	North America	USA	Washington	genome	29430	Human	unknown	unknown	?	BA.2.9	GRA	Atlas Genomics	Washington State Department of Health Public Health Laboratories	Drew MacKellar, Philip Dykema, Denny Russell, Holly Halstead, Kathryn Sickles, Kristin Roche, Ardizon Valdez, Claire Howell, Alex Lathum, JohnAric Peterson, Avi Singh, Rebecca Cao	https://www.gisaid.org/	?	?	2022-05-13	?	hCoV-19/USA/WA-PHL-019591/2022	no
hCoV-19/USA/WA-S15994/2021	52283	betacoronavirus	EPI_ISL_8822310	?	2021-12-29	North America	USA	Washington	King County	North America	USA	Washington	genome	29780	Human	unknown	unknown	?	BA.1	GRA	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2022-01-18	?	hCoV-19/USA/WA-S15994/2021	yes
hCoV-19/USA/WA-S3512/2020	46068	betacoronavirus	EPI_ISL_890938	?	2020-12-05	North America	USA	Washington	King County	North America	USA	Washington	genome	29865	Human	unknown	unknown	?	B.1.2	GH	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-01-29	?	hCoV-19/USA/WA-S3512/2020	yes
hCoV-19/USA/WA-S3755/2020	47352	betacoronavirus	EPI_ISL_903041	?	2020-12-28	North America	USA	Washington	King County	North America	USA	Washington	genome	29727	Human	unknown	unknown	?	B.1.404	G	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Karen Cowgill, Stephanie Schrag, Jeff Duchin, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Helen Y. Chu, Trevor Bedford, Jay Shendure	https://www.gisaid.org/	?	?	2021-01-30	?	hCoV-19/USA/WA-S3755/2020	no
hCoV-19/USA/WA-S15540/2021	30394	betacoronavirus	EPI_ISL_8035051	?	2021-10-01	North America	USA	Washington	King County	North America	USA	Washington	genome	29800	Human	unknown	unknown	?	AY.5.3	GK	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-12-24	?	hCoV-19/USA/WA-S15540/2021	yes
hCoV-19/USA/WA-S19973/2022	80578	betacoronavirus	EPI_ISL_12710815	?	2022-05-04	North America	USA	Washington	King County	North America	USA	Washington	genome	29341	Human	unknown	unknown	?	BA.2	GRA	Seattle Flu Study	Seattle Flu Study	Chris D. Frazar, Jover Lee, Erica Ryke, Luis Gamboa, Evan McDermot, Jeremy Stone, Tom Kolar, Peter D. Han, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Barry R. Lutz, Alpana Waghmare, Cecile Viboud, Lea M. Starita, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2022-05-16	?	hCoV-19/USA/WA-S19973/2022	yes
hCoV-19/USA/WA-S6897/2021	94820	betacoronavirus	EPI_ISL_2025777	?	2021-04-10	North America	USA	Washington	King County	North America	USA	Washington	genome	29776	Human	unknown	unknown	?	B.1.1.7	GRY	Seattle Flu Study	Seattle Flu Study	Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2021-05-12	?	hCoV-19/USA/WA-S6897/2021	yes
hCoV-19/USA/WA-S20061/2022	109661	betacoronavirus	EPI_ISL_13077751	?	2022-05-09	North America	USA	Washington	King County	North America	USA	Washington	genome	29768	Human	unknown	unknown	?	BA.2.3	GRA	Seattle Flu Study	Seattle Flu Study	Chris D. Frazar, Jover Lee, Erica Ryke, Luis Gamboa, Evan McDermot, Jeremy Stone, Tom Kolar, Peter D. Han, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Michael Boeckh, Janet A. Englund, Barry R. Lutz, Alpana Waghmare, Cecile Viboud, Lea M. Starita, Jay Shendure, Trevor Bedford, Helen Y. Chu	https://www.gisaid.org/	?	?	2022-06-02	?	hCoV-19/USA/WA-S20061/2022	yes
